Name,Link,Price_AMD,Price_USD,State,City,Address,Category,Review_Count,Average_Score,Free_WiFi,Breakfast_Included,Free_Parking,Swimming_Pool
RIS Dalma Collection Yerevan,https://www.tripadvisor.com//Hotel_Review-g293932-d14189004-Reviews-RIS_Dalma_Collection_Yerevan-Yerevan.html,22000.0,45.0,Yerevan,Yerevan,"Tsitsernakaberd Highway, 1/3",Hotel,3,5.0,1,0,1,0
RiverSite,https://www.tripadvisor.com//Hotel_Review-g1160895-d14788013-Reviews-RiverSite-Dilijan_Tavush_Province.html,16561.0,34.0,Tavush Province,Dilijan,Getapnya Street 102,Other,0,0.0,0,0,0,0
Rob@Lil,https://www.tripadvisor.com//Hotel_Review-g815353-d15551068-Reviews-Rob_Lil-Gyumri_Shirak_Province.html,12500.0,26.0,Shirak Province,Gyumri,Matnishyan Street 21,Other,0,0.0,0,0,0,0
Roma Hotel Complex,https://www.tripadvisor.com//Hotel_Review-g293932-d5218005-Reviews-Roma_Hotel_Complex-Yerevan.html,23333.0,48.0,Yerevan,Yerevan,Rubinyantsa str. 29/14,B&Bs,110,4.7962962962963,1,0,1,0
Room In The Centre,https://www.tripadvisor.com//Hotel_Review-g293932-d15055627-Reviews-Room_In_The_Centre-Yerevan.html,30000.0,62.0,Yerevan,Yerevan,Aygedzor Street,Other,0,0.0,0,0,0,0
Royal Hotel,https://www.tripadvisor.com//Hotel_Review-g666439-d15030086-Reviews-Royal_Hotel-Goris_Syunik_Province.html,22875.0,47.0,Syunik Province,Goris,"Gusan Ashot St, Bldg 26",Other,0,0.0,1,0,1,0
Royal Plaza Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d5085060-Reviews-Royal_Plaza_Hotel-Yerevan.html,41607.0,86.0,Yerevan,Yerevan,"Saryan St, 9",Hotel,89,3.69662921348315,1,0,0,0
Rp Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d8465555-Reviews-Rp_Hotel-Yerevan.html,8333.0,17.0,Yerevan,Yerevan,Isakov admiral str. 9/2,Specialty Lodging,3,2.5,1,0,1,0
Ruben's Hotel,https://www.tripadvisor.com//Hotel_Review-g1438527-d7315105-Reviews-Ruben_s_Hotel-Vanadzor_Lori_Province.html,9992.0,21.0,Lori Province,Vanadzor,Abovian 75,Other,0,0.0,0,0,0,0
Rusalka,https://www.tripadvisor.com//Hotel_Review-g815353-d10679039-Reviews-Rusalka-Gyumri_Shirak_Province.html,17975.0,37.0,Shirak Province,Gyumri,Khrimyan Hayrik street 3-18,Other,0,0.0,0,0,0,0
Russkaya Balka,https://www.tripadvisor.com//Hotel_Review-g1160895-d12591068-Reviews-Russkaya_Balka-Dilijan_Tavush_Province.html,15000.0,31.0,Tavush Province,Dilijan,Ivanov 27a,Other,0,0.0,1,0,1,0
Ruzanna's Bed & Breakfast,https://www.tripadvisor.com//Hotel_Review-g1066129-d2085215-Reviews-Ruzanna_s_Bed_Breakfast-Stepanavan_Lori_Province.html,26667.0,55.0,Lori Province,Stepanavan,Milioni Street 9,B&Bs,14,4.6,1,0,1,0
Sakharov Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d10544121-Reviews-Sakharov_Hostel-Yerevan.html,9158.0,19.0,Yerevan,Yerevan,Sakharov Str. House 4,B&Bs,10,4.2,1,0,1,0
Sanahin Bridge Hotel,https://www.tripadvisor.com//Hotel_Review-g815351-d14190016-Reviews-Sanahin_Bridge_Hotel-Alaverdi_Lori_Province.html,11658.0,24.0,Lori Province,Alaverdi,"Sanahin Sarahart, 1/12a",Hotel,8,4.75,1,0,1,0
Sanatorium Cross Health Center,https://www.tripadvisor.com//Hotel_Review-g293932-d6537761-Reviews-Sanatorium_Cross_Health_Center-Yerevan.html,20000.0,41.0,Yerevan,Yerevan,Ashtaraki Highway 50-12,Specialty Lodging,2,5.0,0,0,0,0
Sari Tey - Mountain Tea,https://www.tripadvisor.com//Hotel_Review-g815353-d13278379-Reviews-Sari_Tey_Mountain_Tea-Gyumri_Shirak_Province.html,37284.0,77.0,Shirak Province,Gyumri,K. Demirchyan 31,Other,0,0.0,1,0,1,0
Saro's Bed and Breakfast,https://www.tripadvisor.com//Hotel_Review-g815352-d9740014-Reviews-Saro_s_Bed_and_Breakfast-Tatev_Syunik_Province.html,11667.0,24.0,Syunik Province,Tatev,,B&Bs,39,4.69230769230769,1,0,1,0
Sati Hotel,https://www.tripadvisor.com//Hotel_Review-g2151208-d7375226-Reviews-Sati_Hotel-Tsakhkadzor_Kotayk_Province.html,23990.0,49.0,Kotayk Province,Tsakhkadzor,Olimpiakan Street 7,Other,0,0.0,0,0,0,0
Saya Hotel Tsaghkadzor,https://www.tripadvisor.com//Hotel_Review-g2151208-d10317046-Reviews-Saya_Hotel_Tsaghkadzor-Tsakhkadzor_Kotayk_Province.html,17925.0,37.0,Kotayk Province,Tsakhkadzor,Charentsi St. 17,B&Bs,3,5.0,1,0,1,0
SD Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d3545290-Reviews-SD_Hotel-Yerevan.html,15341.0,32.0,Yerevan,Yerevan,Sasuntsi David str. 7,Hotel,50,4.3,1,0,1,0
Season hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d11728165-Reviews-Season_hotel-Yerevan.html,15000.0,31.0,Yerevan,Yerevan,16 Sayat-Nova Avenue,Other,0,0.0,1,0,0,0
Serik & Geora Guesthouse,https://www.tripadvisor.com//Hotel_Review-g666442-d12732298-Reviews-Serik_Geora_Guesthouse-Sevan_Lake_Sevan_Gegharkunik_Province.html,10833.0,22.0,Gegharkunik Province,Lake Sevan,Lchapnya 19,B&Bs,4,4.0,1,0,1,0
Sevan Tent City,https://www.tripadvisor.com//Hotel_Review-g666442-d15220556-Reviews-Sevan_Tent_City-Sevan_Lake_Sevan_Gegharkunik_Province.html,7492.0,15.0,Gegharkunik Province,Lake Sevan,Lchapnya Str 19,Other,0,0.0,0,0,0,0
Sh Resort,https://www.tripadvisor.com//Hotel_Review-g1066129-d12875375-Reviews-Sh_Resort-Stepanavan_Lori_Province.html,48260.0,99.0,Lori Province,Stepanavan,Baghramyan Street 143,Specialty Lodging,1,5.0,0,0,0,0
Shaber Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d7099567-Reviews-Shaber_Hotel-Yerevan.html,15000.0,31.0,Yerevan,Yerevan,Tevosyan Street 19,Other,0,0.0,0,0,0,0
Shamrock Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d13446727-Reviews-Shamrock_Hostel-Yerevan.html,712.0,1.0,Yerevan,Yerevan,Nikol Duman Street 31,Other,0,0.0,1,0,1,0
Shara Talyan 8/2 Guest House,https://www.tripadvisor.com//Hotel_Review-g293932-d15295689-Reviews-Shara_Talyan_8_2_Guest_House-Yerevan.html,13333.0,27.0,Yerevan,Yerevan,Shara Talyan 8/2,Other,0,0.0,0,0,0,0
Shat LAV Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d12690023-Reviews-Shat_LAV_Hostel-Yerevan.html,6867.0,14.0,Yerevan,Yerevan,29/1 Tigran Mets Avenue,Specialty Lodging,4,3.5,1,0,1,0
Shirak Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d308341-Reviews-Shirak_Hotel-Yerevan.html,23333.0,48.0,Yerevan,Yerevan,Khoryenatsi M. str. 13a,Hotel,166,3.16867469879518,1,1,0,0
Shree Gopal Gayatri Lok,https://www.tripadvisor.com//Hotel_Review-g293932-d15104501-Reviews-Shree_Gopal_Gayatri_Lok-Yerevan.html,9325.0,19.0,Yerevan,Yerevan,"1/24, Azatutyan Avenue, General Babayan St.",Specialty Lodging,1,5.0,1,0,1,0
Shushan B&B,https://www.tripadvisor.com//Hotel_Review-g2135874-d8682464-Reviews-Shushan_B_B-Yeghegnadzor_Vayots_Dzor_Province.html,6250.0,13.0,Vayots Dzor Province,Yeghegnadzor,Andranik S. 8,B&Bs,12,5.0,1,0,1,0
Silachi Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d2442929-Reviews-Silachi_Hotel-Yerevan.html,24167.0,50.0,Yerevan,Yerevan,20 Tigran Mets Ave,Hotel,139,3.87769784172662,1,1,0,0
Silk Road Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d8112204-Reviews-Silk_Road_Hotel-Yerevan.html,19375.0,40.0,Yerevan,Yerevan,Aygyedzor 53/2,B&Bs,70,4.85714285714286,1,0,1,0
Sion Resort,https://www.tripadvisor.com//Hotel_Review-g2151208-d10794035-Reviews-Sion_Resort-Tsakhkadzor_Kotayk_Province.html,37500.0,77.0,Kotayk Province,Tsakhkadzor,Isahakyan 5/3,B&Bs,2,2.0,1,0,1,0
Smbatyan B&B,https://www.tripadvisor.com//Hotel_Review-g666442-d10534318-Reviews-Smbatyan_B_B-Sevan_Lake_Sevan_Gegharkunik_Province.html,40833.0,84.0,Gegharkunik Province,Lake Sevan,Babajanyan 8,Specialty Lodging,2,4.0,1,0,1,0
Sochi Palace Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d4163416-Reviews-Sochi_Palace_Hotel-Yerevan.html,11553.0,24.0,Yerevan,Yerevan,Jrvej Qochinyan 13 / 13,Hotel,81,4.1358024691358,1,0,1,0
Sochi Plaza Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d5857692-Reviews-Sochi_Plaza_Hotel-Yerevan.html,39000.0,80.0,Yerevan,Yerevan,Yeghvard Highway 136,B&Bs,11,3.63636363636364,1,0,1,0
Solibri,https://www.tripadvisor.com//Hotel_Review-g293932-d7712080-Reviews-Solibri-Yerevan.html,30000.0,62.0,Yerevan,Yerevan,"7th Street Aygestan, 13",Other,0,0.0,0,0,0,0
Sona B&B,https://www.tripadvisor.com//Hotel_Review-g293932-d6966492-Reviews-Sona_B_B-Yerevan.html,10000.0,21.0,Yerevan,Yerevan,Isaakyan A. str. 16,Other,0,0.0,1,0,0,0
